T: 2018-09-24T20:00:00Z | O: 0.0015247 | H: 0.0015283 | L: 0.0015231 | C: 0.0015254 | V: 7671.89 | MOM: 1.500000000000199E-6
T: 2018-09-24T21:00:00Z | O: 0.0015254 | H: 0.0015288 | L: 0.0015253 | C: 0.0015264 | V: 7202.22 | MOM: 8.100000000000034E-6
T: 2018-09-24T22:00:00Z | O: 0.0015264 | H: 0.0015297 | L: 0.001525 | C: 0.0015297 | V: 7045.12 | MOM: 1.1199999999999839E-5
T: 2018-09-24T23:00:00Z | O: 0.0015285 | H: 0.00153 | L: 0.0015196 | C: 0.0015204 | V: 9253.86 | MOM: 5.400000000000023E-6
T: 2018-09-25T00:00:00Z | O: 0.0015199 | H: 0.0015261 | L: 0.0015145 | C: 0.0015261 | V: 19533.03 | MOM: 1.8000000000000004E-5
T: 2018-09-25T01:00:00Z | O: 0.0015239 | H: 0.0015261 | L: 0.0015135 | C: 0.0015182 | V: 20033.95 | MOM: 2.7000000000000114E-6
T: 2018-09-25T02:00:00Z | O: 0.0015181 | H: 0.0015198 | L: 0.0015103 | C: 0.0015131 | V: 21068.28 | MOM: 2.1000000000001053E-6
T: 2018-09-25T03:00:00Z | O: 0.0015121 | H: 0.0015323 | L: 0.0015101 | C: 0.0015282 | V: 57919.53 | MOM: 1.3100000000000047E-5
T: 2018-09-25T04:00:00Z | O: 0.0015285 | H: 0.001533 | L: 0.0015194 | C: 0.0015221 | V: 17496.54 | MOM: 7.700000000000025E-6
T: 2018-09-25T05:00:00Z | O: 0.0015221 | H: 0.0015221 | L: 0.0015132 | C: 0.0015132 | V: 10523.38 | MOM: -5.300000000000183E-6
T: 2018-09-25T06:00:00Z | O: 0.0015132 | H: 0.0015196 | L: 0.0015126 | C: 0.0015158 | V: 9471.4 | MOM: -9.999999999999159E-7
T: 2018-09-25T07:00:00Z | O: 0.0015147 | H: 0.001518 | L: 0.0015 | C: 0.0015054 | V: 30690.28 | MOM: -1.460000000000003E-5
T: 2018-09-25T08:00:00Z | O: 0.0015054 | H: 0.0015075 | L: 0.0014934 | C: 0.001497 | V: 31477.63 | MOM: -2.689999999999984E-5
T: 2018-09-25T09:00:00Z | O: 0.001498 | H: 0.001508 | L: 0.0014967 | C: 0.0015067 | V: 10571.62 | MOM: -1.9200000000000033E-5
T: 2018-09-25T10:00:00Z | O: 0.0015067 | H: 0.0015084 | L: 0.0015 | C: 0.0015023 | V: 11005.71 | MOM: -2.3100000000000074E-5
T: 2018-09-25T11:00:00Z | O: 0.0015023 | H: 0.0015138 | L: 0.0015002 | C: 0.0015057 | V: 39673.28 | MOM: -2.0700000000000015E-5
T: 2018-09-25T12:00:00Z | O: 0.0015045 | H: 0.0015069 | L: 0.0014916 | C: 0.0015041 | V: 32819.97 | MOM: -2.5599999999999972E-5
T: 2018-09-25T13:00:00Z | O: 0.001504 | H: 0.0015127 | L: 0.0015015 | C: 0.00151 | V: 18808.07 | MOM: -1.0400000000000036E-5
T: 2018-09-25T14:00:00Z | O: 0.0015089 | H: 0.0015113 | L: 0.0014942 | C: 0.0014947 | V: 14763.94 | MOM: -3.1400000000000004E-5
T: 2018-09-25T15:00:00Z | O: 0.001495 | H: 0.0014999 | L: 0.0014912 | C: 0.0014931 | V: 18742.61 | MOM: -2.5099999999999905E-5
T: 2018-09-25T16:00:00Z | O: 0.0014931 | H: 0.0014945 | L: 0.0014809 | C: 0.0014884 | V: 43898.52 | MOM: -2.4700000000000112E-5
